84.769 33.369 36
569.791 55.458 150
657.623 47.035 159
217.057 362.065 5773
131.724 353.369 5773
146.775 77.422 36
368.503 154.196 36
391.971 154.476 36
370.949 60.969 36
416.921 8.361 0
395.641 57.213 36
364.238 350.081 5773
80.045 72.876 36
165.344 62.451 36
383.098 241.973 3915
534.528 98.429 159
226.838 125.291 36
584.614 359.845 159
513.591 233.739 3490
320.149 245.128 3915
253.957 352.431 5773
454.47 125.015 36
593.575 60.259 150
263.424 154.39 36
104.671 131.178 36
409.456 395.994 5773
22.503 275.392 3915
321.587 243.537 3915
207.826 144.105 36
133.755 93.225 36
619.842 172.75 159
237.182 136.436 36
163.685 77.011 36
281.023 337.286 5773
157.27 69.36 36
533.072 242.258 3490
156.838 226.538 0
251.759 185.154 3563
204.832 251.717 3915
69.941 67.454 36
370.13 69.724 36
440.249 117.888 36
280.239 133.911 36
138.208 250.879 3915
323.491 273.785 3915
468.655 352.672 5773
76.363 223.197 3915
556.646 93.601 159
169.13 392.663 5773
72.233 100.092 36
69.215 106.764 36
605.689 81.98 150
392.869 335.28 5773
589.654 37.614 150
648.014 49.983 159
341.49 322.577 5773
500.559 185.183 3490
382.665 290.872 3915
316.484 49.23 36
417.443 61.106 36
197.68 324.521 5773
51.422 238.311 3915
143.903 205.928 0
64.903 396.755 0
601.415 303.703 159
190.249 135.046 36
281.617 59.714 36
171.975 253.749 3915
635.284 156.747 159
390.591 326.188 5773
103.982 319.44 0
317.336 279.335 3915
199.222 60.944 36
357.093 332.927 5773
124.991 331.509 5773
651.034 102.031 159
203.374 66.095 36
466.578 363.654 5773
511.314 234.093 3490
395.852 135.215 36
359.007 213.454 0
33.826 32.112 36
358.276 77.191 36
595.352 167.91 159
6.853 139.456 36
324.69 149.584 36
300.422 148.739 36
240.248 338.418 5773
578.781 71.148 150
231.525 240.325 3915
285.535 44.249 36
155.048 286.331 3915
401.343 76.107 36
563.367 336.19 159
360.788 271.746 3915
303.001 212.361 3563
531.357 229.43 3490
580.044 219.853 159
510.534 342.822 6054
574.526 75.115 150
191.159 243.658 3915
246.316 119.444 36
580.667 56.525 150
425.296 114.782 36
293.355 324.01 5773
299.079 109.868 36
311.588 156.401 36
47.73 265.829 3915
531.608 249.258 3490
310.6 388.645 5773
48.882 96.462 36
255.624 291.362 5773
556.974 103.401 159
400.174 238.492 3915
345.64 72.763 36
185.979 381.037 5773
248.235 343.25 5773
461.237 345.004 5773
94.467 256.296 3915
190.556 56.93 36
111.22 345.926 5773
164.448 146.123 36
240.044 264.26 3915
191.674 64.508 36
319.571 364.316 5773
250.626 76.032 36
186.511 242.978 3915
617.707 231.134 159
318.579 339.879 5773
179.167 275.914 3915
329.288 340.405 5773
285.095 110.859 36
242.707 86.626 36
392.159 245.637 3915
55.752 131.06 36
546.065 275.871 3490
61.542 148.227 36
486.225 295.18 0
194.948 85.251 36
189.056 120.449 36
288.514 157.688 36
22.17 244.408 3915
580.633 44.737 150
37.188 279.654 3915
596.225 177.266 159
226.243 191.191 3563
95.199 35.962 36
584.92 321.48 159
576.304 76.634 150
595.659 175.996 159
571.016 147.929 159
375.997 128.038 36
